Parameter,Estimate,Est. Error,lower,upper,95% CI,sim_id
age_days,-0.0014558,0.0021318,-0.0055579,0.0027969,"[-0.0055579, 0.0027969]",69
Intercept,-0.8731132,0.5341475,-1.9255724,0.1730375,"[-1.9255724, 0.1730375]",91
age_days,0.0058852,0.0022026,0.0015437,0.0101911,"[0.0015437, 0.0101911]",91
Intercept,0.5819866,0.5490318,-0.4732182,1.6693877,"[-0.4732182, 1.6693877]",25
age_days,9.13e-5,0.0022595,-0.004245,0.0045707,"[-0.004245, 0.0045707]",25
Intercept,0.4396142,0.5567901,-0.6152842,1.5601508,"[-0.6152842, 1.5601508]",157
age_days,2.928e-4,0.0022262,-0.0039538,0.0047773,"[-0.0039538, 0.0047773]",157
Intercept,0.0040039,0.5260426,-1.0328956,1.0452823,"[-1.0328956, 1.0452823]",136
age_days,0.0026703,0.0021857,-0.0018347,0.0067927,"[-0.0018347, 0.0067927]",136
Intercept,0.5509284,0.5351467,-0.4739662,1.6172638,"[-0.4739662, 1.6172638]",70
age_days,3.206e-4,0.0021929,-0.0038774,0.0046913,"[-0.0038774, 0.0046913]",70
Intercept,1.3996882,0.539426,0.3220609,2.4361336,"[0.3220609, 2.4361336]",48
age_days,-0.0033976,0.0021792,-0.0076125,9.017e-4,"[-0.0076125, 0.0009017]",48
Intercept,0.2486181,0.5420517,-0.8301774,1.3101108,"[-0.8301774, 1.3101108]",26
age_days,0.001381,0.0022667,-0.0030992,0.0057896,"[-0.0030992, 0.0057896]",26
Intercept,-0.5356003,0.5270734,-1.5693148,0.488426,"[-1.5693148, 0.488426]",92
age_days,0.0044959,0.002179,3.096e-4,0.0088032,"[0.0003096, 0.0088032]",92
Intercept,1.1219159,0.5203488,0.1321052,2.1757142,"[0.1321052, 2.1757142]",114
age_days,-0.0023317,0.0021589,-0.0066567,0.0018515,"[-0.0066567, 0.0018515]",114
Intercept,-0.2435239,0.5533895,-1.3127674,0.8523001,"[-1.3127674, 0.8523001]",180
age_days,0.0034735,0.0022812,-0.0010043,0.0079798,"[-0.0010043, 0.0079798]",180
Intercept,1.5914892,0.531718,0.5340228,2.6212636,"[0.5340228, 2.6212636]",158
age_days,-0.0042438,0.0021822,-0.0085489,5.8e-6,"[-0.0085489, 5.8e-06]",158
Intercept,-0.4905446,0.5368674,-1.5259875,0.5665629,"[-1.5259875, 0.5665629]",115
age_days,0.0045023,0.0022015,1.766e-4,0.0087368,"[0.0001766, 0.0087368]",115
Intercept,0.7646159,0.526368,-0.2768338,1.8018456,"[-0.2768338, 1.8018456]",49
age_days,-8.256e-4,0.0021558,-0.0052094,0.0032588,"[-0.0052094, 0.0032588]",49
Intercept,0.320344,0.5417437,-0.733632,1.3835083,"[-0.733632, 1.3835083]",137
age_days,0.0011111,0.0022376,-0.0032842,0.0054818,"[-0.0032842, 0.0054818]",137
Intercept,0.1268102,0.5340436,-0.9021184,1.1708,"[-0.9021184, 1.1708]",93
age_days,0.0014915,0.0021753,-0.0025729,0.0058996,"[-0.0025729, 0.0058996]",93
Intercept,0.4323305,0.5379156,-0.612983,1.4805588,"[-0.612983, 1.4805588]",71
age_days,3.755e-4,0.0022122,-0.003834,0.0047884,"[-0.003834, 0.0047884]",71
Intercept,0.3246506,0.5225727,-0.6957283,1.3432705,"[-0.6957283, 1.3432705]",159
age_days,9.409e-4,0.0021387,-0.0031985,0.0051626,"[-0.0031985, 0.0051626]",159
Intercept,1.2952536,0.5225745,0.3031246,2.3406123,"[0.3031246, 2.3406123]",181
age_days,-0.0030002,0.0021283,-0.007236,0.0010433,"[-0.007236, 0.0010433]",181
Intercept,0.3504148,0.5535908,-0.7654184,1.4009339,"[-0.7654184, 1.4009339]",27
age_days,0.00107,0.0022665,-0.0032919,0.005601,"[-0.0032919, 0.005601]",27
Intercept,-0.0741562,0.5677114,-1.1851434,1.0327356,"[-1.1851434, 1.0327356]",116
age_days,0.0026441,0.0023346,-0.0020279,0.0071414,"[-0.0020279, 0.0071414]",116
Intercept,0.4728173,0.5217302,-0.5328236,1.5154429,"[-0.5328236, 1.5154429]",50
age_days,4.751e-4,0.0021426,-0.0035737,0.0048355,"[-0.0035737, 0.0048355]",50
Intercept,1.4212436,0.556539,0.3678094,2.5483459,"[0.3678094, 2.5483459]",138
age_days,-0.0034491,0.002278,-0.0080503,8.808e-4,"[-0.0080503, 0.0008808]",138
Intercept,0.9571523,0.5338346,-0.0866711,1.9992466,"[-0.0866711, 1.9992466]",94
age_days,-0.0014176,0.0021881,-0.0057278,0.0028012,"[-0.0057278, 0.0028012]",94
Intercept,1.2598629,0.5372925,0.2008958,2.3197337,"[0.2008958, 2.3197337]",160
age_days,-0.0028008,0.0022131,-0.0071701,0.0015634,"[-0.0071701, 0.0015634]",160
Intercept,0.0847997,0.5380738,-0.9843007,1.1037022,"[-0.9843007, 1.1037022]",72
age_days,0.0019409,0.0021905,-0.0022811,0.0062323,"[-0.0022811, 0.0062323]",72
Intercept,-0.0977096,0.5502355,-1.1580849,0.9923924,"[-1.1580849, 0.9923924]",182
age_days,0.0027563,0.0022602,-0.0017003,0.0071329,"[-0.0017003, 0.0071329]",182
Intercept,0.3986303,0.5386889,-0.7095804,1.4069254,"[-0.7095804, 1.4069254]",28
age_days,7.986e-4,0.0021849,-0.0033376,0.0051991,"[-0.0033376, 0.0051991]",28
Intercept,1.0807797,0.5259679,0.0709523,2.1317934,"[0.0709523, 2.1317934]",117
age_days,-0.0023556,0.0021611,-0.0067256,0.0017631,"[-0.0067256, 0.0017631]",117
Intercept,0.1870432,0.5291912,-0.8457709,1.2355066,"[-0.8457709, 1.2355066]",51
age_days,0.0015021,0.0021789,-0.0028706,0.0056948,"[-0.0028706, 0.0056948]",51
Intercept,-0.0069442,0.5270725,-1.0011,1.0567411,"[-1.0011, 1.0567411]",139
age_days,0.0022964,0.0022015,-0.0019777,0.0066258,"[-0.0019777, 0.0066258]",139
Intercept,0.1617905,0.5411192,-0.8985375,1.2387653,"[-0.8985375, 1.2387653]",95
age_days,0.0016285,0.0022203,-0.002714,0.0060623,"[-0.002714, 0.0060623]",95
Intercept,-0.5297832,0.5192234,-1.5352058,0.5083338,"[-1.5352058, 0.5083338]",183
age_days,0.0044419,0.0021587,9.52e-5,0.0085761,"[9.52e-05, 0.0085761]",183
Intercept,-0.4031105,0.548029,-1.4855151,0.6750051,"[-1.4855151, 0.6750051]",161
age_days,0.0040225,0.0022152,-2.912e-4,0.0084373,"[-0.0002912, 0.0084373]",161
Intercept,0.0992399,0.5449624,-0.9673714,1.1818665,"[-0.9673714, 1.1818665]",73
age_days,0.0019268,0.0022463,-0.0026167,0.0062722,"[-0.0026167, 0.0062722]",73
Intercept,1.0005657,0.5408628,-0.0494057,2.0672763,"[-0.0494057, 2.0672763]",29
age_days,-0.001707,0.0022117,-0.0061666,0.0025234,"[-0.0061666, 0.0025234]",29
Intercept,0.2285383,0.5377842,-0.808182,1.292397,"[-0.808182, 1.292397]",118
age_days,0.0011965,0.0021843,-0.0030574,0.0054707,"[-0.0030574, 0.0054707]",118
Intercept,-0.2481376,0.5481198,-1.3380283,0.8119314,"[-1.3380283, 0.8119314]",140
age_days,0.0034877,0.0022588,-9.032e-4,0.0079491,"[-0.0009032, 0.0079491]",140
Intercept,0.3679905,0.5550644,-0.6968704,1.4721985,"[-0.6968704, 1.4721985]",52
age_days,9.191e-4,0.0022427,-0.0034889,0.005274,"[-0.0034889, 0.005274]",52
Intercept,0.1719246,0.5301093,-0.8710595,1.1929348,"[-0.8710595, 1.1929348]",184
age_days,0.0015573,0.0021556,-0.0026457,0.0057802,"[-0.0026457, 0.0057802]",184
Intercept,1.2239709,0.5428353,0.1597684,2.2846916,"[0.1597684, 2.2846916]",74
age_days,-0.002551,0.0022231,-0.0068558,0.001804,"[-0.0068558, 0.001804]",74
Intercept,0.2340325,0.5303432,-0.835825,1.2435778,"[-0.835825, 1.2435778]",96
age_days,0.0013954,0.0021587,-0.002909,0.0055578,"[-0.002909, 0.0055578]",96
Intercept,1.0134087,0.5418412,-0.0822437,2.0276035,"[-0.0822437, 2.0276035]",162
age_days,-0.0016682000000000001,0.002223,-0.0059993,0.0026508,"[-0.0059993, 0.0026508]",162
Intercept,0.6736169,0.5370265,-0.3642711,1.7233097,"[-0.3642711, 1.7233097]",30
