Parameter,Estimate,Est. Error,lower,upper,95% CI,sim_id
Intercept,0.3931464,0.5198998,-0.6343672,1.4031214,"[-0.6343672, 1.4031214]",127
age_days,5.874e-4,0.0021102,-0.0034738,0.0048097,"[-0.0034738, 0.0048097]",127
Intercept,-0.3075943,0.559587,-1.4038604,0.7685966,"[-1.4038604, 0.7685966]",150
age_days,0.0035812,0.0023069,-9.582e-4,0.0080606,"[-0.0009582, 0.0080606]",150
Intercept,0.3717404,0.5206066,-0.6699493,1.3707609,"[-0.6699493, 1.3707609]",83
age_days,8.776e-4,0.0021442,-0.0033711,0.0050288,"[-0.0033711, 0.0050288]",83
Intercept,0.7229318,0.5404068,-0.3539386,1.7841152,"[-0.3539386, 1.7841152]",171
age_days,-4.418e-4,0.0022353,-0.0049147,0.0038949,"[-0.0049147, 0.0038949]",171
Intercept,0.16476,0.5252308,-0.8648037,1.1867228,"[-0.8648037, 1.1867228]",62
age_days,0.0016985,0.002133,-0.0025897,0.0057198,"[-0.0025897, 0.0057198]",62
Intercept,0.3217574,0.5058335,-0.6707737,1.2954164,"[-0.6707737, 1.2954164]",194
age_days,8.054e-4,0.0020593,-0.0032579,0.0047615,"[-0.0032579, 0.0047615]",194
Intercept,-0.1804457,0.5229059,-1.2164872,0.8290043,"[-1.2164872, 0.8290043]",106
age_days,0.0031919,0.002156,-9.876e-4,0.0074605,"[-0.0009876, 0.0074605]",106
Intercept,0.6522739,0.5440493,-0.3926094,1.7283176,"[-0.3926094, 1.7283176]",128
age_days,-3.685e-4,0.0022073,-0.0047262,0.0039328,"[-0.0047262, 0.0039328]",128
Intercept,0.7191997,0.5150548,-0.2523807,1.7627862,"[-0.2523807, 1.7627862]",39
age_days,-5.516e-4,0.0021205,-0.0047335,0.0035288,"[-0.0047335, 0.0035288]",39
Intercept,1.2643678,0.5463075,0.2006128,2.3439463,"[0.2006128, 2.3439463]",172
age_days,-0.0025824,0.0021778,-0.0067744,0.0017416,"[-0.0067744, 0.0017416]",172
Intercept,0.62078,0.5393309,-0.4396247,1.6693628,"[-0.4396247, 1.6693628]",151
age_days,-1.263e-4,0.0022186,-0.0044931,0.0041842,"[-0.0044931, 0.0041842]",151
Intercept,0.9844873,0.5362251,-0.0469634,2.0358944,"[-0.0469634, 2.0358944]",84
age_days,-0.0015611,0.002153,-0.0056988,0.0027316,"[-0.0056988, 0.0027316]",84
Intercept,0.3093227,0.5406682,-0.7144616,1.3920328,"[-0.7144616, 1.3920328]",107
age_days,9.991e-4,0.0022261,-0.0034229,0.0052484,"[-0.0034229, 0.0052484]",107
Intercept,0.6881316,0.5096354,-0.2980768,1.6867352,"[-0.2980768, 1.6867352]",195
age_days,-4.781e-4,0.0020961,-0.0045024,0.0036427,"[-0.0045024, 0.0036427]",195
Intercept,0.4756922,0.5256698,-0.5407853,1.5235588,"[-0.5407853, 1.5235588]",129
age_days,5.628e-4,0.0021857,-0.0037854,0.0047578,"[-0.0037854, 0.0047578]",129
Intercept,0.2564782,0.522897,-0.7567699,1.2753957,"[-0.7567699, 1.2753957]",173
age_days,0.0014246,0.0021554,-0.0026672,0.0056964,"[-0.0026672, 0.0056964]",173
Intercept,0.4336886,0.5394095,-0.6338927,1.4696478,"[-0.6338927, 1.4696478]",40
age_days,4.032e-4,0.0022419,-0.0040745,0.0046596,"[-0.0040745, 0.0046596]",40
Intercept,-0.1148516,0.5482269,-1.181783,0.9625458,"[-1.181783, 0.9625458]",152
age_days,0.0029335,0.0022587,-0.0014835,0.0073699,"[-0.0014835, 0.0073699]",152
Intercept,0.9917023,0.636032,-0.2656223,2.2475964,"[-0.2656223, 2.2475964]",63
age_days,-0.0016787,0.0026221,-0.0067074,0.0036405,"[-0.0067074, 0.0036405]",63
Intercept,0.705278,0.5469265,-0.3651417,1.7709027,"[-0.3651417, 1.7709027]",85
age_days,-3.201e-4,0.0022141,-0.0046123,0.0040691,"[-0.0046123, 0.0040691]",85
Intercept,0.4776742,0.5261,-0.5847607,1.4778067,"[-0.5847607, 1.4778067]",196
age_days,1.675e-4,0.0021565,-0.0039491,0.0045133,"[-0.0039491, 0.0045133]",196
Intercept,0.7880564,0.5490439,-0.3187167,1.8335532,"[-0.3187167, 1.8335532]",108
age_days,-8.101e-4,0.0022186,-0.0050013,0.003687,"[-0.0050013, 0.003687]",108
Intercept,0.7420843,0.5149306,-0.2624301,1.7543803,"[-0.2624301, 1.7543803]",130
age_days,-6.845e-4,0.0021271,-0.0049092,0.003423,"[-0.0049092, 0.003423]",130
Intercept,1.1058346,0.5364476,0.07246,2.1625815,"[0.07246, 2.1625815]",153
age_days,-0.0022112,0.0022246,-0.0065314,0.0021168,"[-0.0065314, 0.0021168]",153
Intercept,1.0766314,0.5420043,0.0010797,2.1147721,"[0.0010797, 2.1147721]",64
age_days,-0.002031,0.002228,-0.0062329,0.0024571,"[-0.0062329, 0.0024571]",64
Intercept,0.3806856,0.5564776,-0.703639,1.4814732,"[-0.703639, 1.4814732]",41
age_days,9.474e-4,0.002279,-0.0035016,0.0054498,"[-0.0035016, 0.0054498]",41
Intercept,0.1059971,0.5269785,-0.896959,1.1558362,"[-0.896959, 1.1558362]",86
age_days,0.0018823,0.0021711,-0.0024004,0.006062,"[-0.0024004, 0.006062]",86
Intercept,1.038651,0.5264555,0.0103825,2.073073,"[0.0103825, 2.073073]",174
age_days,-0.0015092,0.0021725,-0.0056966,0.0027748,"[-0.0056966, 0.0027748]",174
Intercept,0.8699153,0.5166677,-0.1262487,1.8815351,"[-0.1262487, 1.8815351]",109
age_days,-0.0010928000000000001,0.0021228,-0.0051759,0.0030746,"[-0.0051759, 0.0030746]",109
Intercept,0.6238335,0.5106912,-0.3811206,1.612637,"[-0.3811206, 1.612637]",131
age_days,-4.86e-5,0.0021115,-0.0042467,0.003982,"[-0.0042467, 0.003982]",131
Intercept,1.0368429,0.5230348,0.039948,2.081532,"[0.039948, 2.081532]",154
age_days,-0.0019889,0.0021533,-0.0061265,0.0022635,"[-0.0061265, 0.0022635]",154
Intercept,1.0783707,0.5636788,-0.0298392,2.1799686,"[-0.0298392, 2.1799686]",197
age_days,-0.0021853,0.0023147,-0.006553,0.0025374,"[-0.006553, 0.0025374]",197
Intercept,0.7611294,0.5367431,-0.2778461,1.8104501,"[-0.2778461, 1.8104501]",42
age_days,-0.0010234,0.0021676,-0.0052668,0.0031493,"[-0.0052668, 0.0031493]",42
Intercept,0.1831103,0.5392927,-0.8724595,1.2490376,"[-0.8724595, 1.2490376]",65
age_days,0.0017432,0.0021854,-0.0027081,0.0058822,"[-0.0027081, 0.0058822]",65
Intercept,0.6101944,0.5284085,-0.4561165,1.6159157,"[-0.4561165, 1.6159157]",175
age_days,1.73e-5,0.0021503,-0.0041607,0.0042825,"[-0.0041607, 0.0042825]",175
Intercept,-0.0493849,0.5343224,-1.1608479,0.9597327,"[-1.1608479, 0.9597327]",87
age_days,0.0026985,0.002191,-0.0015456,0.0071498,"[-0.0015456, 0.0071498]",87
Intercept,-0.2849146,0.5297409,-1.2997406,0.7895646,"[-1.2997406, 0.7895646]",110
age_days,0.0037448,0.0021896,-6.507e-4,0.0079806,"[-0.0006507, 0.0079806]",110
Intercept,1.8927761,0.5496934,0.8187965,2.9666062,"[0.8187965, 2.9666062]",132
age_days,-0.0050836,0.0022546,-0.0095333,-7.39e-4,"[-0.0095333, -0.000739]",132
Intercept,0.6650947,0.5261794,-0.3663344,1.6947861,"[-0.3663344, 1.6947861]",198
age_days,-4.084e-4,0.002157,-0.0045789,0.0038447,"[-0.0045789, 0.0038447]",198
Intercept,0.6832391,0.5375495,-0.3471542,1.7527213,"[-0.3471542, 1.7527213]",155
age_days,-7.174e-4,0.0021489,-0.0050484,0.0033686,"[-0.0050484, 0.0033686]",155
Intercept,0.3065857,0.5461527,-0.7973674,1.347979,"[-0.7973674, 1.347979]",66
age_days,0.0012727,0.0022513,-0.0030069,0.0058195,"[-0.0030069, 0.0058195]",66
Intercept,0.4111488,0.5415318,-0.6800005,1.4463842,"[-0.6800005, 1.4463842]",43
age_days,9.786e-4,0.0022197,-0.0032841,0.0054272,"[-0.0032841, 0.0054272]",43
Intercept,1.3753647,0.5398307,0.3368909,2.4381246,"[0.3368909, 2.4381246]",176
age_days,-0.0036196,0.0021995,-0.0080539,5.085e-4,"[-0.0080539, 0.0005085]",176
Intercept,0.2145419,0.5278379,-0.8550714,1.2111666,"[-0.8550714, 1.2111666]",111
age_days,0.0014055,0.0021655,-0.0029557,0.0055619,"[-0.0029557, 0.0055619]",111
Intercept,1.5090265,0.5481306,0.4551667,2.6001526,"[0.4551667, 2.6001526]",88
age_days,-0.0035179,0.0022359,-0.0078925,8.178e-4,"[-0.0078925, 0.0008178]",88
Intercept,0.536574,0.54123,-0.539762,1.5585125,"[-0.539762, 1.5585125]",133
age_days,1.19e-5,0.0022566,-0.0042234,0.0045516,"[-0.0042234, 0.0045516]",133
Intercept,0.758592,0.5217958,-0.286882,1.7521742,"[-0.286882, 1.7521742]",199
age_days,-6.672e-4,0.0021012,-0.0047634,0.0034692,"[-0.0047634, 0.0034692]",199
Intercept,0.0517466,0.5450314,-1.0139405,1.1334611,"[-1.0139405, 1.1334611]",156
age_days,0.0022703,0.0022287,-0.0023127,0.0064822,"[-0.0023127, 0.0064822]",156
Intercept,0.3421037,0.5428534,-0.7472221,1.386085,"[-0.7472221, 1.386085]",89
age_days,0.0010091,0.0022303,-0.0033172,0.005429,"[-0.0033172, 0.005429]",89
Intercept,1.2278655,0.5458015,0.1415974,2.2705361,"[0.1415974, 2.2705361]",112
age_days,-0.002695,0.0022155,-0.0069552,0.0016543,"[-0.0069552, 0.0016543]",112
Intercept,-0.1984698,0.5404995,-1.2489086,0.8757938,"[-1.2489086, 0.8757938]",44
age_days,0.003348,0.0021778,-9.743e-4,0.0075464,"[-0.0009743, 0.0075464]",44
Intercept,1.0285162,0.5517508,-0.0583624,2.0995311,"[-0.0583624, 2.0995311]",67
age_days,-0.0018925,0.0022234,-0.0061777,0.0025356,"[-0.0061777, 0.0025356]",67
Intercept,-0.0326913,0.5216947,-1.076869,0.9695691,"[-1.076869, 0.9695691]",134
age_days,0.0027921,0.0021371,-0.0014098,0.0069847,"[-0.0014098, 0.0069847]",134
Intercept,1.0500651,0.5236289,0.0240865,2.0728829,"[0.0240865, 2.0728829]",177
age_days,-0.0019568,0.0021468,-0.0062678,0.0021582,"[-0.0062678, 0.0021582]",177
Intercept,1.2314237,0.5307734,0.1974064,2.271315,"[0.1974064, 2.271315]",200
age_days,-0.0025885,0.0021679,-0.0067961,0.0016684,"[-0.0067961, 0.0016684]",200
Intercept,0.4929111,0.5187091,-0.5368084,1.4874197,"[-0.5368084, 1.4874197]",178
age_days,3.334e-4,0.0020935,-0.0037199,0.0044564,"[-0.0037199, 0.0044564]",178
Intercept,1.0905005,0.5190132,0.0632397,2.0874547,"[0.0632397, 2.0874547]",45
age_days,-0.0020153,0.0021293,-0.00604,0.0022873,"[-0.00604, 0.0022873]",45
Intercept,1.4267044,0.5511214,0.3594399,2.5025112,"[0.3594399, 2.5025112]",68
age_days,-0.0038149,0.0023025,-0.0083311,6.631e-4,"[-0.0083311, 0.0006631]",68
Intercept,1.2972231,0.5498505,0.2455047,2.3817898,"[0.2455047, 2.3817898]",90
age_days,-0.0028761,0.0022407,-0.0072578,0.0014153,"[-0.0072578, 0.0014153]",90
Intercept,-0.0165064,0.5137634,-1.0494213,0.9723116,"[-1.0494213, 0.9723116]",46
age_days,0.0023155,0.00211,-0.001807,0.0065026,"[-0.001807, 0.0065026]",46
Intercept,0.350498,0.5318706,-0.6759848,1.400974,"[-0.6759848, 1.400974]",226
age_days,0.0010345,0.0021953,-0.0032622,0.0053103,"[-0.0032622, 0.0053103]",226
Intercept,0.3232077,0.5441832,-0.7586895,1.3796453,"[-0.7586895, 1.3796453]",231
age_days,0.0011704,0.0022452,-0.0031793,0.0056533,"[-0.0031793, 0.0056533]",231
Intercept,0.434199,0.5271836,-0.583617,1.4777179,"[-0.583617, 1.4777179]",206
age_days,4.919e-4,0.0021707,-0.0036792,0.00484,"[-0.0036792, 0.00484]",206
Intercept,0.9513139,0.5322995,-0.1002995,2.0021576,"[-0.1002995, 2.0021576]",221
age_days,-0.0014391,0.0021757,-0.0056948,0.0028428,"[-0.0056948, 0.0028428]",221
Intercept,1.2484727,0.583242,0.157755,2.4509991,"[0.157755, 2.4509991]",216
age_days,-0.0024701,0.0023482,-0.0072301,0.0020108,"[-0.0072301, 0.0020108]",216
Intercept,0.9811274,0.5095734,0.0411731,2.0331097,"[0.0411731, 2.0331097]",236
age_days,-0.0020399,0.0021123,-0.0061476,0.0020785,"[-0.0061476, 0.0020785]",236
Intercept,1.0870128,0.57764,-0.0532314,2.2172542,"[-0.0532314, 2.2172542]",201
age_days,-0.0021086,0.0023226,-0.0066973,0.0024186,"[-0.0066973, 0.0024186]",201
Intercept,0.1785843,0.5356331,-0.8549065,1.235407,"[-0.8549065, 1.235407]",211
age_days,0.0015794,0.0022065,-0.0027594,0.0058774,"[-0.0027594, 0.0058774]",211
Intercept,0.1884599,0.5450271,-0.8435118,1.2971352,"[-0.8435118, 1.2971352]",232
age_days,0.0016485,0.0022677,-0.0028926,0.0059961,"[-0.0028926, 0.0059961]",232
Intercept,0.4371162,0.5243426,-0.6057288,1.4657541,"[-0.6057288, 1.4657541]",207
age_days,6.889e-4,0.0021683,-0.0034369,0.0051388,"[-0.0034369, 0.0051388]",207
Intercept,-1.0674726,0.5395813,-2.085305,0.0015388,"[-2.085305, 0.0015388]",202
age_days,0.0066265,0.002244,0.0021604,0.0108615,"[0.0021604, 0.0108615]",202
Intercept,0.9500286,0.5114242,-0.0559664,1.9538019,"[-0.0559664, 1.9538019]",237
age_days,-0.0016833,0.002071,-0.0055987,0.002528,"[-0.0055987, 0.002528]",237
Intercept,0.1981514,0.542688,-0.8685739,1.2641485,"[-0.8685739, 1.2641485]",222
age_days,0.0014886,0.0022072,-0.0028333,0.0058072,"[-0.0028333, 0.0058072]",222
Intercept,0.6460456,0.5404417,-0.4171805,1.692587,"[-0.4171805, 1.692587]",227
age_days,3.81e-5,0.0022121,-0.0043474,0.0043116,"[-0.0043474, 0.0043116]",227
Intercept,1.379709,0.5359473,0.343743,2.4602707,"[0.343743, 2.4602707]",217
age_days,-0.0029541,0.0021563,-0.007334,0.0011379,"[-0.007334, 0.0011379]",217
Intercept,0.1306164,0.547719,-0.9268528,1.2211365,"[-0.9268528, 1.2211365]",212
age_days,0.0019014,0.0022497,-0.0025219,0.0062622,"[-0.0025219, 0.0062622]",212
Intercept,0.4931208,0.5576591,-0.6119751,1.5904491,"[-0.6119751, 1.5904491]",233
age_days,3.385e-4,0.0023038,-0.0041932,0.004881,"[-0.0041932, 0.004881]",233
Intercept,0.2206025,0.5410574,-0.8126887,1.3034337,"[-0.8126887, 1.3034337]",218
age_days,0.001693,0.0022196,-0.0025813,0.0060573,"[-0.0025813, 0.0060573]",218
Intercept,1.2453066,0.5271226,0.2231937,2.2718085,"[0.2231937, 2.2718085]",228
age_days,-0.0029758,0.0021791,-0.0070693,0.001384,"[-0.0070693, 0.001384]",228
Intercept,0.7813501,0.5401946,-0.2787296,1.8313115,"[-0.2787296, 1.8313115]",203
age_days,-8.363e-4,0.0022053,-0.0052755,0.0033875,"[-0.0052755, 0.0033875]",203
Intercept,0.4370848,0.5688132,-0.7109323,1.5260969,"[-0.7109323, 1.5260969]",208
age_days,4.953e-4,0.0023159,-0.0040126,0.0050814,"[-0.0040126, 0.0050814]",208
Intercept,0.0241509,0.5468032,-1.0639178,1.078973,"[-1.0639178, 1.078973]",223
age_days,0.0024931,0.0022357,-0.0019889,0.0068235,"[-0.0019889, 0.0068235]",223
Intercept,1.0339988,0.5249961,-0.0020268,2.0627658,"[-0.0020268, 2.0627658]",213
age_days,-0.0019803,0.0021564,-0.0063128,0.0021645,"[-0.0063128, 0.0021645]",213
Intercept,-0.2009112,0.5753632,-1.3266177,0.9115385,"[-1.3266177, 0.9115385]",238
age_days,0.0032036,0.0024014,-0.0014571,0.007919,"[-0.0014571, 0.007919]",238
Intercept,0.7071747,0.521091,-0.2800075,1.7440529,"[-0.2800075, 1.7440529]",234
age_days,-8.329e-4,0.0021264,-0.004996,0.0032375,"[-0.004996, 0.0032375]",234
Intercept,1.4032713,0.5424936,0.3378498,2.4722136,"[0.3378498, 2.4722136]",229
age_days,-0.00307,0.0022119,-0.0074472,0.0012191,"[-0.0074472, 0.0012191]",229
Intercept,0.4414698,0.5170769,-0.5512076,1.4815137,"[-0.5512076, 1.4815137]",204
age_days,3.753e-4,0.0021332,-0.0037989,0.0045839,"[-0.0037989, 0.0045839]",204
Intercept,0.4251721,0.520909,-0.6032906,1.4358955,"[-0.6032906, 1.4358955]",209
age_days,7.918e-4,0.0021298,-0.003511,0.0048461,"[-0.003511, 0.0048461]",209
Intercept,0.8015088,0.5472959,-0.2310967,1.9215529,"[-0.2310967, 1.9215529]",219
age_days,-9.246e-4,0.0022458,-0.0052527,0.0035999,"[-0.0052527, 0.0035999]",219
Intercept,0.3350561,0.5407068,-0.7186301,1.3896202,"[-0.7186301, 1.3896202]",224
age_days,0.0012847,0.0022229,-0.0030389,0.0056365,"[-0.0030389, 0.0056365]",224
Intercept,0.4292143,0.5287962,-0.5862989,1.4950466,"[-0.5862989, 1.4950466]",214
age_days,6.129e-4,0.0021698,-0.0035534,0.0050085,"[-0.0035534, 0.0050085]",214
Intercept,0.1522646,0.5512752,-0.9290299,1.2351372,"[-0.9290299, 1.2351372]",239
age_days,0.0019627,0.0022635,-0.0025706,0.0062968,"[-0.0025706, 0.0062968]",239
Intercept,0.3204034,0.5219114,-0.7160962,1.3580832,"[-0.7160962, 1.3580832]",210
age_days,0.0011845,0.0021439,-0.0031006,0.0054116,"[-0.0031006, 0.0054116]",210
Intercept,1.4186366,0.5662034,0.2985903,2.538983,"[0.2985903, 2.538983]",235
age_days,-0.0035524,0.0023305,-0.0083927,8.263e-4,"[-0.0083927, 0.0008263]",235
Intercept,-0.1060979,0.5206318,-1.1406001,0.8900018,"[-1.1406001, 0.8900018]",225
age_days,0.0028458,0.0021557,-0.0012858,0.0070971,"[-0.0012858, 0.0070971]",225
Intercept,0.7396091,0.5351636,-0.3148877,1.7818955,"[-0.3148877, 1.7818955]",220
age_days,-8.761e-4,0.0021895,-0.0052386,0.0033261,"[-0.0052386, 0.0033261]",220
Intercept,0.7865327,0.5102971,-0.2408142,1.7613739,"[-0.2408142, 1.7613739]",205
age_days,-6.85e-4,0.0020996,-0.0048292,0.0033841,"[-0.0048292, 0.0033841]",205
Intercept,0.22107570000000001,0.5352515,-0.8122592,1.2914696,"[-0.8122592, 1.2914696]",215
age_days,0.0014433,0.0021843,-0.0028865,0.0057406,"[-0.0028865, 0.0057406]",215
Intercept,1.8667369,0.5625147,0.7463925,2.9346741,"[0.7463925, 2.9346741]",240
age_days,-0.0052702,0.0023091,-0.0096484,-6.73e-4,"[-0.0096484, -0.000673]",240
Intercept,-0.9156147,0.6742962,-2.218495,0.4568052,"[-2.218495, 0.4568052]",230
age_days,0.0063527,0.0027896,8.731e-4,0.0119163,"[0.0008731, 0.0119163]",230
