Parameter,Estimate,Est. Error,lower,upper,95% CI,sim_id
z_age_days,-0.0014075,0.0021855,-0.0057761,0.0027547,"[-0.0057761, 0.0027547]",91
Intercept,0.6856668,0.5738389,-0.4192144,1.8197082,"[-0.4192144, 1.8197082]",69
z_age_days,-0.0011567,0.002332,-0.0058073,0.003342,"[-0.0058073, 0.003342]",69
Intercept,0.0831523,0.5945446,-1.0868141,1.2664723,"[-1.0868141, 1.2664723]",47
z_age_days,0.0014016,0.0024201,-0.0032527,0.0062909,"[-0.0032527, 0.0062909]",47
Intercept,-0.4559754,0.6251394,-1.706442,0.7433254,"[-1.706442, 0.7433254]",179
z_age_days,0.0036242,0.0025705,-0.001431,0.0086139,"[-0.001431, 0.0086139]",179
Intercept,-0.2626618,0.6329433,-1.53543,0.9551566,"[-1.53543, 0.9551566]",113
z_age_days,0.0028974,0.0026011,-0.0021067,0.008133,"[-0.0021067, 0.008133]",113
Intercept,0.1194659,0.5571639,-0.9990748,1.1912497,"[-0.9990748, 1.1912497]",26
z_age_days,0.001112,0.0023634,-0.0034797,0.0058165,"[-0.0034797, 0.0058165]",26
Intercept,0.1599373,0.5573954,-0.9302931,1.2480183,"[-0.9302931, 1.2480183]",158
z_age_days,7.966e-4,0.0023214,-0.0035609,0.0055028,"[-0.0035609, 0.0055028]",158
Intercept,-0.2022584,0.5679439,-1.3049344,0.932171,"[-1.3049344, 0.932171]",92
z_age_days,0.0026095,0.0023397,-0.0019265,0.0072788,"[-0.0019265, 0.0072788]",92
Intercept,0.0295654,0.5377036,-1.0343791,1.0710503,"[-1.0343791, 1.0710503]",136
z_age_days,0.0014883,0.0022519,-0.0028422,0.0059755,"[-0.0028422, 0.0059755]",136
Intercept,0.1684685,0.5628689,-0.9473302,1.2462023,"[-0.9473302, 1.2462023]",48
z_age_days,8.633e-4,0.0022837,-0.003505,0.005409,"[-0.003505, 0.005409]",48
Intercept,0.9292007,0.559326,-0.17611,2.0189514,"[-0.17611, 2.0189514]",180
z_age_days,-0.0022803,0.0023225,-0.0067527,0.0023327,"[-0.0067527, 0.0023327]",180
Intercept,0.4291636,0.5824432,-0.7139605,1.5525527,"[-0.7139605, 1.5525527]",70
z_age_days,3.8e-5,0.0023916,-0.0046691,0.0046648,"[-0.0046691, 0.0046648]",70
Intercept,0.1918595,0.5448009,-0.8733345,1.2534541,"[-0.8733345, 1.2534541]",114
z_age_days,7.797e-4,0.0023015,-0.0036093,0.0054513,"[-0.0036093, 0.0054513]",114
Intercept,0.6015244,0.5221937,-0.4319813,1.5994908,"[-0.4319813, 1.5994908]",27
z_age_days,-9.689e-4,0.0021465,-0.0052627,0.0030918,"[-0.0052627, 0.0030918]",27
Intercept,0.2800979,0.5469249,-0.7876237,1.3371183,"[-0.7876237, 1.3371183]",93
z_age_days,6.293e-4,0.0022393,-0.0038185,0.0048993,"[-0.0038185, 0.0048993]",93
Intercept,0.9974058,0.5115756,-0.0228881,1.9814825,"[-0.0228881, 1.9814825]",181
z_age_days,-0.0023928,0.0020985,-0.0064684,0.0017256,"[-0.0064684, 0.0017256]",181
Intercept,0.3464443,0.5854571,-0.8003564,1.4997059,"[-0.8003564, 1.4997059]",159
z_age_days,2.124e-4,0.0024182,-0.0046684,0.0048306,"[-0.0046684, 0.0048306]",159
Intercept,0.0807143,0.5269639,-0.9482384,1.0954302,"[-0.9482384, 1.0954302]",71
z_age_days,0.0012773,0.0021782,-0.0029422,0.0055215,"[-0.0029422, 0.0055215]",71
Intercept,0.0586297,0.5618163,-1.0659526,1.1487482,"[-1.0659526, 1.1487482]",49
z_age_days,0.0014668,0.0023188,-0.0030923,0.0059862,"[-0.0030923, 0.0059862]",49
Intercept,-0.0489031,0.5744499,-1.1840693,1.055075,"[-1.1840693, 1.055075]",115
z_age_days,0.0017682,0.0023521,-0.0028919,0.0063041,"[-0.0028919, 0.0063041]",115
Intercept,0.7338938,0.6081059,-0.4991854,1.9153203,"[-0.4991854, 1.9153203]",137
z_age_days,-0.001236,0.0025333,-0.0062107,0.0038429,"[-0.0062107, 0.0038429]",137
Intercept,0.0764737,0.5569487,-1.0412581,1.1757766,"[-1.0412581, 1.1757766]",28
