Parameter,Estimate,Est. Error,lower,upper,95% CI,sim_id
Intercept,1.105824,0.5404738,0.0411424,2.1703694,"[0.0411424, 2.1703694]",84
z_age_days,-0.0029726,0.0021863,-0.0072935,0.0013149,"[-0.0072935, 0.0013149]",84
Intercept,0.763305,0.5456932,-0.3131871,1.825464,"[-0.3131871, 1.825464]",61
z_age_days,-0.0015099,0.0022434,-0.0058323,0.0030058,"[-0.0058323, 0.0030058]",61
Intercept,-0.08818,0.5380401,-1.1478603,0.9588502,"[-1.1478603, 0.9588502]",105
z_age_days,0.0019864,0.0022432,-0.0022875,0.0064745,"[-0.0022875, 0.0064745]",105
Intercept,-0.002496,0.8171141,-1.6960218,1.5843393,"[-1.6960218, 1.5843393]",192
z_age_days,0.0015784,0.0033757,-0.0049126,0.0086334,"[-0.0049126, 0.0086334]",192
Intercept,0.6616499,0.5443854,-0.4021338,1.740551,"[-0.4021338, 1.740551]",127
z_age_days,-0.0010506,0.0022271,-0.0053765,0.0033646,"[-0.0053765, 0.0033646]",127
Intercept,0.5862816,0.5847371,-0.5118517,1.777934,"[-0.5118517, 1.777934]",150
z_age_days,-5.63e-4,0.0023844,-0.0052506,0.0041031,"[-0.0052506, 0.0041031]",150
Intercept,0.2163924,0.5501793,-0.8728627,1.2794677,"[-0.8728627, 1.2794677]",172
z_age_days,5.719e-4,0.0021961,-0.0037584,0.004881,"[-0.0037584, 0.004881]",172
Intercept,0.6735762,0.5342729,-0.3825151,1.705048,"[-0.3825151, 1.705048]",40
z_age_days,-0.0012399,0.0022185,-0.0056265,0.0030217,"[-0.0056265, 0.0030217]",40
Intercept,0.6656163,0.5441373,-0.4094835,1.7334994,"[-0.4094835, 1.7334994]",106
z_age_days,-0.0011395,0.0022419,-0.0055066,0.0033414,"[-0.0055066, 0.0033414]",106
Intercept,0.1333061,0.5750043,-1.0023617,1.2802465,"[-1.0023617, 1.2802465]",62
z_age_days,9.768e-4,0.0023509,-0.0036757,0.0056129,"[-0.0036757, 0.0056129]",62
Intercept,-0.0670375,0.5934277,-1.2016381,1.1164737,"[-1.2016381, 1.1164737]",85
z_age_days,0.0019354,0.0024494,-0.0029567,0.0066397,"[-0.0029567, 0.0066397]",85
Intercept,0.4940735,0.5603387,-0.6333051,1.5638708,"[-0.6333051, 1.5638708]",128
z_age_days,-5.25e-4,0.0022994,-0.0050032,0.0040112,"[-0.0050032, 0.0040112]",128
Intercept,0.3800535,0.5304493,-0.6659947,1.409983,"[-0.6659947, 1.409983]",151
z_age_days,-7.8e-5,0.0021839,-0.0043299,0.0042764,"[-0.0043299, 0.0042764]",151
Intercept,0.9910932,0.6135034,-0.2500823,2.1479661,"[-0.2500823, 2.1479661]",193
z_age_days,-0.0024405,0.0025341,-0.0075052,0.0024534,"[-0.0075052, 0.0024534]",193
Intercept,0.148414,0.5159099,-0.8518161,1.1565978,"[-0.8518161, 1.1565978]",173
z_age_days,0.0010639,0.0021389,-0.0029216,0.0054105,"[-0.0029216, 0.0054105]",173
Intercept,0.1355865,0.5844222,-1.0155152,1.2731225,"[-1.0155152, 1.2731225]",41
z_age_days,0.0010251,0.0024144,-0.0035863,0.0059004,"[-0.0035863, 0.0059004]",41
Intercept,-0.1963428,0.5898755,-1.3948305,0.9102421,"[-1.3948305, 0.9102421]",107
z_age_days,0.0025706,0.0024353,-0.0021803,0.0073182,"[-0.0021803, 0.0073182]",107
Intercept,0.0385281,0.5676281,-1.0543393,1.1744935,"[-1.0543393, 1.1744935]",86
z_age_days,0.0015949,0.0023791,-0.0030225,0.0062987,"[-0.0030225, 0.0062987]",86
Intercept,-0.3347956,0.5921907,-1.5118165,0.8307438,"[-1.5118165, 0.8307438]",63
z_age_days,0.0030927,0.0024635,-0.001627,0.0081002,"[-0.001627, 0.0081002]",63
Intercept,-0.3825375,0.5424174,-1.4476316,0.6570959,"[-1.4476316, 0.6570959]",194
z_age_days,0.0030215,0.0022159,-0.0011914,0.0074207,"[-0.0011914, 0.0074207]",194
Intercept,0.2033646,0.56281,-0.9036746,1.2907085,"[-0.9036746, 1.2907085]",129
z_age_days,8.886e-4,0.0023501,-0.0036672,0.0055115,"[-0.0036672, 0.0055115]",129
Intercept,-0.1923196,0.6277971,-1.4198292,1.0471639,"[-1.4198292, 1.0471639]",152
z_age_days,0.0024034,0.0026054,-0.0027703,0.0074778,"[-0.0027703, 0.0074778]",152
Intercept,0.2262278,0.5427449,-0.8648289,1.2586058,"[-0.8648289, 1.2586058]",42
z_age_days,8.553e-4,0.0022308,-0.0033784,0.0053483,"[-0.0033784, 0.0053483]",42
Intercept,1.012292,0.5508988,-0.0380168,2.1230826,"[-0.0380168, 2.1230826]",174
z_age_days,-0.002254,0.0023114,-0.0068411,0.0022321,"[-0.0068411, 0.0022321]",174
Intercept,-0.0815213,0.5673935,-1.177288,1.0264947,"[-1.177288, 1.0264947]",108
z_age_days,0.0018727,0.002327,-0.0027004,0.0063725,"[-0.0027004, 0.0063725]",108
Intercept,-0.0381521,0.5403122,-1.1151559,1.0234026,"[-1.1151559, 1.0234026]",87
z_age_days,0.0017583,0.0022346,-0.0026765,0.0061755000000000004,"[-0.0026765, 0.0061755]",87
Intercept,0.4225739,0.5274788,-0.6440391,1.4371829,"[-0.6440391, 1.4371829]",64
z_age_days,-3.89e-5,0.0021716,-0.0042228,0.0043442,"[-0.0042228, 0.0043442]",64
Intercept,0.3832773,0.5709744,-0.7448694,1.5051765,"[-0.7448694, 1.5051765]",130
z_age_days,1.93e-4,0.0023973,-0.0043725,0.0050404,"[-0.0043725, 0.0050404]",130
Intercept,0.1004846,0.5697472,-1.0510391,1.1963742,"[-1.0510391, 1.1963742]",195
z_age_days,0.0012911,0.002377,-0.0033523,0.00604,"[-0.0033523, 0.00604]",195
Intercept,-0.3229805,0.5281957,-1.3638443,0.70045,"[-1.3638443, 0.70045]",175
z_age_days,0.0029289,0.0021544,-0.0012636,0.0071736,"[-0.0012636, 0.0071736]",175
Intercept,0.2991702,0.5765268,-0.7926459,1.4634662,"[-0.7926459, 1.4634662]",153
z_age_days,5.369e-4,0.0024203,-0.0044564,0.0050488,"[-0.0044564, 0.0050488]",153
Intercept,0.2775246,0.5309843,-0.7752402,1.3086791,"[-0.7752402, 1.3086791]",109
z_age_days,4.717e-4,0.0021962,-0.0039126,0.0046836,"[-0.0039126, 0.0046836]",109
Intercept,0.8029803,0.5506563,-0.2964003,1.8734044,"[-0.2964003, 1.8734044]",88
z_age_days,-0.001643,0.0022457,-0.0060647,0.0028011,"[-0.0060647, 0.0028011]",88
Intercept,0.8088182,0.5639891,-0.319376,1.8794928,"[-0.319376, 1.8794928]",65
z_age_days,-0.0017263,0.0022724,-0.0061714,0.0027274,"[-0.0061714, 0.0027274]",65
Intercept,1.0246428,0.5640288,-0.0656255,2.1306083,"[-0.0656255, 2.1306083]",43
z_age_days,-0.0024802,0.0023339,-0.0071868,0.0019766,"[-0.0071868, 0.0019766]",43
Intercept,-0.2392259,0.5980092,-1.4062268,0.9237488,"[-1.4062268, 0.9237488]",196
z_age_days,0.0026298,0.0024655,-0.0021062,0.0074957,"[-0.0021062, 0.0074957]",196
Intercept,0.4471175,0.5330923,-0.6052318,1.4951635,"[-0.6052318, 1.4951635]",154
z_age_days,-2.439e-4,0.0022068,-0.0047907,0.0039298,"[-0.0047907, 0.0039298]",154
Intercept,0.8980595,0.5727495,-0.2528707,1.9841293,"[-0.2528707, 1.9841293]",131
z_age_days,-0.0019399,0.0023542,-0.0066164,0.0025955,"[-0.0066164, 0.0025955]",131
Intercept,-0.6541677,0.5472831,-1.7163502,0.4393308,"[-1.7163502, 0.4393308]",110
z_age_days,0.0042867,0.0022828,-2.131e-4,0.0087769,"[-0.0002131, 0.0087769]",110
Intercept,0.7475571,0.5706275,-0.3388966,1.9004123,"[-0.3388966, 1.9004123]",89
z_age_days,-0.001357,0.0023598,-0.0060294,0.0032058,"[-0.0060294, 0.0032058]",89
Intercept,0.191975,0.5757037,-0.922115,1.326811,"[-0.922115, 1.326811]",176
z_age_days,8.023e-4,0.0023884,-0.0037923,0.0055844,"[-0.0037923, 0.0055844]",176
Intercept,-0.4515284,0.5494362,-1.5137055,0.6336963,"[-1.5137055, 0.6336963]",44
z_age_days,0.0034841,0.0022055,-8.884e-4,0.007683,"[-0.0008884, 0.007683]",44
Intercept,0.7703415,0.5584287,-0.3156364,1.854327,"[-0.3156364, 1.854327]",66
z_age_days,-0.0015441,0.0022913,-0.0060362,0.0028677,"[-0.0060362, 0.0028677]",66
Intercept,1.4901389,0.555134,0.4188665,2.575021,"[0.4188665, 2.575021]",90
z_age_days,-0.0045492,0.0022859,-0.0089762,-4.17e-5,"[-0.0089762, -4.17e-05]",90
Intercept,-0.2063206,0.5430697,-1.3040689,0.8217352,"[-1.3040689, 0.8217352]",111
z_age_days,0.0023123,0.0022103,-0.001981,0.0067132,"[-0.001981, 0.0067132]",111
Intercept,0.8616635,0.5666604,-0.2743434,1.9598003,"[-0.2743434, 1.9598003]",197
z_age_days,-0.001862,0.0023382,-0.0065014,0.0027183,"[-0.0065014, 0.0027183]",197
Intercept,1.4906829,0.6634325,0.1915726,2.7923413,"[0.1915726, 2.7923413]",155
z_age_days,-0.0043143,0.0026617,-0.0096744,8.104e-4,"[-0.0096744, 0.0008104]",155
Intercept,0.5371764,0.6018285,-0.6653937,1.7034704,"[-0.6653937, 1.7034704]",132
z_age_days,-5.493e-4,0.0025178,-0.0053669,0.0044858,"[-0.0053669, 0.0044858]",132
Intercept,-0.34138810000000003,0.5559162,-1.4276763,0.7452351,"[-1.4276763, 0.7452351]",67
z_age_days,0.0029632,0.002266,-0.0016161,0.0072467,"[-0.0016161, 0.0072467]",67
Intercept,0.8842876,0.5482506,-0.2062557,1.9488664,"[-0.2062557, 1.9488664]",177
z_age_days,-0.002177,0.0022734,-0.0067372,0.0022321,"[-0.0067372, 0.0022321]",177
Intercept,-0.3712803,0.5514782,-1.4492991,0.6938052,"[-1.4492991, 0.6938052]",45
z_age_days,0.0032883,0.0023022,-0.0012163,0.0077367,"[-0.0012163, 0.0077367]",45
Intercept,0.5473145,0.5340885,-0.4954722,1.5881331,"[-0.4954722, 1.5881331]",112
z_age_days,-7.649e-4,0.0021707,-0.0049905,0.0034643,"[-0.0049905, 0.0034643]",112
Intercept,0.355481,0.5298453,-0.6633939,1.4067292,"[-0.6633939, 1.4067292]",156
z_age_days,1.17e-5,0.0021711,-0.0042086,0.0042775,"[-0.0042086, 0.0042775]",156
Intercept,0.1798455,0.5321234,-0.8389846,1.227396,"[-0.8389846, 1.227396]",198
z_age_days,0.0010383,0.0021925,-0.0032842,0.0052592,"[-0.0032842, 0.0052592]",198
Intercept,0.1832866,0.5349588,-0.8812811,1.2356141,"[-0.8812811, 1.2356141]",178
z_age_days,8.24e-4,0.0021908,-0.0035007,0.0051505,"[-0.0035007, 0.0051505]",178
Intercept,0.1386519,0.5550499,-0.9425012,1.2191795,"[-0.9425012, 1.2191795]",68
z_age_days,0.0012081,0.0023248,-0.0032573,0.005839,"[-0.0032573, 0.005839]",68
Intercept,0.3467012,0.5925268,-0.8261809,1.486634,"[-0.8261809, 1.486634]",133
z_age_days,2.316e-4,0.0024579,-0.0044476,0.0051288,"[-0.0044476, 0.0051288]",133
Intercept,0.5859422,0.6373568,-0.7183102,1.8028428,"[-0.7183102, 1.8028428]",46
z_age_days,-7.36e-4,0.0026284,-0.006034,0.0043425,"[-0.006034, 0.0043425]",46
Intercept,1.2048989,0.5409828,0.1278815,2.2331904,"[0.1278815, 2.2331904]",199
z_age_days,-0.0033929,0.0021889,-0.0076371,9.028e-4,"[-0.0076371, 0.0009028]",199
Intercept,-0.4736546,0.5732713,-1.6258958,0.6253645,"[-1.6258958, 0.6253645]",134
z_age_days,0.0037707,0.0023778,-8.104e-4,0.0085865,"[-0.0008104, 0.0085865]",134
Intercept,-0.721616,0.5506183,-1.799916,0.3690547,"[-1.799916, 0.3690547]",200
z_age_days,0.004707,0.0022826,2.221e-4,0.0092087,"[0.0002221, 0.0092087]",200
Intercept,1.069029,0.5507245,0.0443045,2.1863643,"[0.0443045, 2.1863643]",206
z_age_days,-0.0026109,0.002287,-0.006913,0.0019463,"[-0.006913, 0.0019463]",206
Intercept,0.9347508,0.5762783,-0.209523,2.05923,"[-0.209523, 2.05923]",211
z_age_days,-0.0022315,0.0024066,-0.0070403,0.0024088,"[-0.0070403, 0.0024088]",211
Intercept,0.5396332,0.5373796,-0.5210952,1.5777049,"[-0.5210952, 1.5777049]",231
z_age_days,-6.088e-4,0.0021979,-0.0048656,0.0037127,"[-0.0048656, 0.0037127]",231
Intercept,0.1634657,0.5472022,-0.8976528,1.2316749,"[-0.8976528, 1.2316749]",221
z_age_days,9.525e-4,0.0022723,-0.0035172,0.0053455,"[-0.0035172, 0.0053455]",221
Intercept,1.105714,0.5664562,0.0036798,2.2176983,"[0.0036798, 2.2176983]",216
z_age_days,-0.0028039,0.0022856,-0.0072481,0.0016865,"[-0.0072481, 0.0016865]",216
Intercept,-0.3772749,0.545294,-1.4535795,0.6817013,"[-1.4535795, 0.6817013]",226
z_age_days,0.0032563,0.0022692,-0.001171,0.0076955,"[-0.001171, 0.0076955]",226
Intercept,0.206787,0.8583614,-1.4011282,1.9761021,"[-1.4011282, 1.9761021]",236
z_age_days,9.094e-4,0.0035239,-0.0066631,0.0072469,"[-0.0066631, 0.0072469]",236
Intercept,0.7671801,0.7800216,-0.7431696,2.3895739,"[-0.7431696, 2.3895739]",201
z_age_days,-0.0014964,0.0031686,-0.0081592,0.0045381,"[-0.0081592, 0.0045381]",201
Intercept,-0.8098735,0.5369284,-1.8680187,0.2495639,"[-1.8680187, 0.2495639]",207
z_age_days,0.0049305,0.0022352,3.284e-4,0.0091109,"[0.0003284, 0.0091109]",207
Intercept,0.7132111,0.6121716,-0.4820555,1.9241482,"[-0.4820555, 1.9241482]",212
z_age_days,-0.0012947,0.0025117,-0.0061684,0.0037072,"[-0.0061684, 0.0037072]",212
Intercept,-0.2198846,0.545166,-1.2892266,0.837963,"[-1.2892266, 0.837963]",222
z_age_days,0.0027357,0.002225,-0.0015843,0.0070649,"[-0.0015843, 0.0070649]",222
Intercept,0.7604983,0.5795745,-0.3551814,1.9092904,"[-0.3551814, 1.9092904]",217
z_age_days,-0.001324,0.00234,-0.0058047,0.0033584,"[-0.0058047, 0.0033584]",217
Intercept,1.3372007,0.6163998,0.099979,2.5092069,"[0.099979, 2.5092069]",227
z_age_days,-0.0037665,0.0025047,-0.0087405,0.0011329,"[-0.0087405, 0.0011329]",227
Intercept,0.0133795,0.562362,-1.0881387,1.1162161,"[-1.0881387, 1.1162161]",232
z_age_days,0.0016738,0.0023585,-0.0030996,0.0061541,"[-0.0030996, 0.0061541]",232
Intercept,0.8439657,0.5113513,-0.1836286,1.8117347,"[-0.1836286, 1.8117347]",237
z_age_days,-0.0019243,0.0020777,-0.0059717,0.0021477000000000002,"[-0.0059717, 0.0021477]",237
Intercept,0.1778752,0.546218,-0.8923217,1.248023,"[-0.8923217, 1.248023]",202
z_age_days,7.451e-4,0.0022728,-0.0035748,0.0053339,"[-0.0035748, 0.0053339]",202
Intercept,0.03092,0.6099362,-1.1809232,1.2178845,"[-1.1809232, 1.2178845]",208
z_age_days,0.0017631,0.0025125,-0.0031226,0.0067705,"[-0.0031226, 0.0067705]",208
Intercept,-0.1149314,0.5361782,-1.1824446,0.9062497,"[-1.1824446, 0.9062497]",213
z_age_days,0.0021618,0.0022257,-0.0022057,0.006519,"[-0.0022057, 0.006519]",213
Intercept,-0.4734153,0.5522571,-1.5563023,0.6055823,"[-1.5563023, 0.6055823]",218
z_age_days,0.0035595,0.0022944,-8.455e-4,0.0081483,"[-0.0008455, 0.0081483]",218
Intercept,-0.8486922,0.5575805,-1.8944248,0.2773887,"[-1.8944248, 0.2773887]",228
z_age_days,0.0049884,0.0023495,4.047e-4,0.0095524,"[0.0004047, 0.0095524]",228
Intercept,0.1022312,0.5588538,-0.9601433,1.2378037,"[-0.9601433, 1.2378037]",223
z_age_days,9.658e-4,0.0022772,-0.0033982,0.0055105,"[-0.0033982, 0.0055105]",223
Intercept,0.7895069,0.5446623,-0.2861293,1.8664048,"[-0.2861293, 1.8664048]",238
z_age_days,-0.0018073,0.0022877,-0.0063304,0.0027284,"[-0.0063304, 0.0027284]",238
Intercept,0.3824231,0.5580752,-0.7328092,1.4694381,"[-0.7328092, 1.4694381]",233
z_age_days,-7.8e-5,0.0022991,-0.0045108,0.0045484,"[-0.0045108, 0.0045484]",233
Intercept,0.0946939,0.5512364,-0.9899093,1.179987,"[-0.9899093, 1.179987]",203
z_age_days,0.0011024,0.00229,-0.0033714,0.0056563,"[-0.0033714, 0.0056563]",203
Intercept,0.1992862,0.5578444,-0.894427,1.2856755,"[-0.894427, 1.2856755]",209
z_age_days,7.102e-4,0.0022778,-0.003654,0.0052407,"[-0.003654, 0.0052407]",209
Intercept,0.013529,0.5496126,-1.0627982,1.0797185,"[-1.0627982, 1.0797185]",214
z_age_days,0.00146,0.002276,-0.0029976,0.0059199,"[-0.0029976, 0.0059199]",214
Intercept,-0.1516113,0.5434903,-1.2419407,0.8851381,"[-1.2419407, 0.8851381]",224
z_age_days,0.0022526,0.0022532,-0.0021455,0.006674,"[-0.0021455, 0.006674]",224
Intercept,-0.4745819,0.6284036,-1.7420441,0.7384734,"[-1.7420441, 0.7384734]",219
z_age_days,0.0036473,0.0026063,-0.0015287,0.008791,"[-0.0015287, 0.008791]",219
Intercept,1.1290229,0.5722207,0.01598,2.2509724,"[0.01598, 2.2509724]",229
z_age_days,-0.0028013,0.0023267,-0.0074341,0.0016818,"[-0.0074341, 0.0016818]",229
Intercept,-0.1690133,0.5493855,-1.2284014,0.9078013,"[-1.2284014, 0.9078013]",234
z_age_days,0.00226,0.0022448,-0.0021331,0.0065629,"[-0.0021331, 0.0065629]",234
Intercept,0.4931581,0.58651470000000006,-0.6383707,1.6683491,"[-0.6383707, 1.6683491]",239
z_age_days,-4.649e-4,0.0024184,-0.0053179,0.004148,"[-0.0053179, 0.004148]",239
Intercept,0.2261064,0.5611125,-0.8849457,1.2970734,"[-0.8849457, 1.2970734]",204
z_age_days,7.323e-4,0.0023449,-0.0036151,0.005492,"[-0.0036151, 0.005492]",204
Intercept,0.161245,0.5555506,-0.9378941,1.2402861,"[-0.9378941, 1.2402861]",215
z_age_days,0.0010619,0.0023044,-0.0034669,0.005551,"[-0.0034669, 0.005551]",215
Intercept,-0.5905896,0.5696767,-1.7136587,0.5128869,"[-1.7136587, 0.5128869]",210
z_age_days,0.003961,0.0023469,-6.852e-4,0.0085014,"[-0.0006852, 0.0085014]",210
Intercept,-0.6856576,0.5077786,-1.6700297,0.3209259,"[-1.6700297, 0.3209259]",225
z_age_days,0.004468,0.0021014,2.984e-4,0.0085448,"[0.0002984, 0.0085448]",225
Intercept,0.6274633,0.6463083,-0.6645385,1.8896871,"[-0.6645385, 1.8896871]",230
z_age_days,-8.169e-4,0.0026479,-0.0060682,0.004367,"[-0.0060682, 0.004367]",230
Intercept,-0.1608868,0.5552851,-1.2537301,0.9065311,"[-1.2537301, 0.9065311]",220
z_age_days,0.0021263,0.002273,-0.002228,0.0066327,"[-0.002228, 0.0066327]",220
Intercept,-0.1177815,0.567527,-1.2242869,1.008645,"[-1.2242869, 1.008645]",240
z_age_days,0.0020138,0.0023571,-0.0025699,0.0066911,"[-0.0025699, 0.0066911]",240
Intercept,-0.1249646,0.6004401,-1.3069456,1.0525304,"[-1.3069456, 1.0525304]",235
z_age_days,0.002246,0.0025088,-0.0027548,0.007112,"[-0.0027548, 0.007112]",235
Intercept,0.0966946,0.549327,-0.9531436,1.2025714,"[-0.9531436, 1.2025714]",205
z_age_days,0.0010984,0.0022706,-0.0034094,0.0054564,"[-0.0034094, 0.0054564]",205
