Parameter,Estimate,Est. Error,lower,upper,95% CI,sim_id
z_age_days,-0.0674203,0.122245,-0.3104406,0.1690369,"[-0.3104406, 0.1690369]",94
Intercept,0.5507404,0.0718177,0.4106163,0.6905681,"[0.4106163, 0.6905681]",184
z_age_days,0.0667276,0.1069026,-0.1494131,0.2723031,"[-0.1494131, 0.2723031]",184
Intercept,0.5592523,0.0748913,0.4147195,0.7084501,"[0.4147195, 0.7084501]",154
z_age_days,-0.088651,0.1065342,-0.2944414,0.1218589,"[-0.2944414, 0.1218589]",154
Intercept,0.5559853,0.073868,0.4102765,0.6997682,"[0.4102765, 0.6997682]",124
z_age_days,-0.0484976,0.1106008,-0.2597629,0.1736709,"[-0.2597629, 0.1736709]",124
Intercept,0.6129976,0.0741071,0.4709257,0.76176,"[0.4709257, 0.76176]",65
z_age_days,0.0789382,0.1016027,-0.1181193,0.278661,"[-0.1181193, 0.278661]",65
Intercept,0.5721843,0.0738036,0.4324133,0.7232374,"[0.4324133, 0.7232374]",215
z_age_days,0.0570625,0.1125262,-0.1620333,0.2768066,"[-0.1620333, 0.2768066]",215
Intercept,0.564095,0.0736922,0.4254691,0.7120117,"[0.4254691, 0.7120117]",35
z_age_days,-0.0415865,0.1550739,-0.3373853,0.2763693,"[-0.3373853, 0.2763693]",35
Intercept,0.5756747,0.0766996,0.4260462,0.7254695,"[0.4260462, 0.7254695]",5
z_age_days,0.0557796,0.1043867,-0.150076,0.2556642,"[-0.150076, 0.2556642]",5
Intercept,0.5533781,0.0784532,0.4004954,0.7084469,"[0.4004954, 0.7084469]",95
z_age_days,0.0725874,0.1048499,-0.1383978,0.276361,"[-0.1383978, 0.276361]",95
Intercept,0.5010194,0.0731986,0.352755,0.6400697,"[0.352755, 0.6400697]",155
z_age_days,-0.0327065,0.1001007,-0.2272773,0.164611,"[-0.2272773, 0.164611]",155
Intercept,0.6172654,0.0715398,0.477644,0.7577456,"[0.477644, 0.7577456]",185
z_age_days,-0.0304538,0.1165579,-0.2522211,0.2066087,"[-0.2522211, 0.2066087]",185
Intercept,0.5857139,0.0777973,0.4358557,0.7404647,"[0.4358557, 0.7404647]",125
z_age_days,-0.1467285,0.128278,-0.4052052,0.1022312,"[-0.4052052, 0.1022312]",125
Intercept,0.6364234,0.0798503,0.4812385,0.7942073,"[0.4812385, 0.7942073]",36
z_age_days,0.0559494,0.1038504,-0.136603,0.2693417,"[-0.136603, 0.2693417]",36
Intercept,0.615613,0.0755958,0.4642958,0.7637092,"[0.4642958, 0.7637092]",66
z_age_days,0.0552429,0.1106256,-0.1591635,0.2767897,"[-0.1591635, 0.2767897]",66
Intercept,0.646298,0.0749648,0.4965891,0.7879073,"[0.4965891, 0.7879073]",216
z_age_days,-0.1028276,0.1070178,-0.3091792,0.1068207,"[-0.3091792, 0.1068207]",216
Intercept,0.5394255,0.0732106,0.3983227,0.6852834,"[0.3983227, 0.6852834]",6
z_age_days,0.0642547,0.1024132,-0.1457713,0.2574851,"[-0.1457713, 0.2574851]",6
Intercept,0.6050313,0.0747535,0.4596549,0.7532086,"[0.4596549, 0.7532086]",156
z_age_days,0.0944959,0.1098232,-0.1174121,0.3133533,"[-0.1174121, 0.3133533]",156
