Parameter,Estimate,Est. Error,lower,upper,95% CI,sim_id
z_age_days,-0.0318605,0.1149701,-0.2565294,0.1925557,"[-0.2565294, 0.1925557]",49
Intercept,0.5749166,0.0725945,0.4306973,0.716271,"[0.4306973, 0.716271]",168
z_age_days,-0.1675027,0.1134275,-0.3879336,0.0593525,"[-0.3879336, 0.0593525]",168
Intercept,0.6077672,0.0710027,0.47097,0.7466469,"[0.47097, 0.7466469]",19
z_age_days,-0.0322048,0.1007641,-0.2260692,0.1649425,"[-0.2260692, 0.1649425]",19
Intercept,0.6673298,0.0769249,0.5163025,0.8195612,"[0.5163025, 0.8195612]",229
z_age_days,-0.1346249,0.1089793,-0.3583061,0.0721126,"[-0.3583061, 0.0721126]",229
Intercept,0.595517,0.0716696,0.4538434,0.7344857,"[0.4538434, 0.7344857]",199
z_age_days,-0.0289032,0.1047447,-0.2351311,0.1732032,"[-0.2351311, 0.1732032]",199
Intercept,0.609428,0.0724707,0.464212,0.7492138,"[0.464212, 0.7492138]",109
z_age_days,-0.0449712,0.1045478,-0.2464452,0.161335,"[-0.2464452, 0.161335]",109
Intercept,0.5380571,0.0724687,0.3956502,0.6788394,"[0.3956502, 0.6788394]",79
z_age_days,0.0141949,0.1463278,-0.2790457,0.297863,"[-0.2790457, 0.297863]",79
Intercept,0.5387409,0.0720192,0.396502,0.6801842,"[0.396502, 0.6801842]",139
z_age_days,0.0951023,0.1135284,-0.1313742,0.3161859,"[-0.1313742, 0.3161859]",139
Intercept,0.5872585,0.0761167,0.4313215,0.7307561,"[0.4313215, 0.7307561]",50
z_age_days,0.0167304,0.107616,-0.1917611,0.2290787,"[-0.1917611, 0.2290787]",50
Intercept,0.6042439,0.0812701,0.44858170000000003,0.767386,"[0.4485817, 0.767386]",169
z_age_days,-0.0117773,0.1227141,-0.2543307,0.2290067,"[-0.2543307, 0.2290067]",169
Intercept,0.6651861,0.0761548,0.515323,0.8138526,"[0.515323, 0.8138526]",20
z_age_days,0.0262561,0.1072057,-0.1787498,0.2409556,"[-0.1787498, 0.2409556]",20
Intercept,0.6089402,0.074574,0.4567267,0.7509954,"[0.4567267, 0.7509954]",200
z_age_days,-0.1134559,0.1189204,-0.3453801,0.1245001,"[-0.3453801, 0.1245001]",200
Intercept,0.6415502,0.0766993,0.4928807,0.7930581,"[0.4928807, 0.7930581]",230
z_age_days,0.2605873,0.1669778,-0.082124,0.5758329,"[-0.082124, 0.5758329]",230
Intercept,0.6189694,0.0718752,0.4801412,0.7619995,"[0.4801412, 0.7619995]",110
z_age_days,0.1636265,0.1040261,-0.0339326,0.3746338,"[-0.0339326, 0.3746338]",110
Intercept,0.5997457,0.0722711,0.4591801,0.7417987,"[0.4591801, 0.7417987]",80
z_age_days,-0.0091588,0.1026158,-0.2141524,0.1874245,"[-0.2141524, 0.1874245]",80
Intercept,0.5508398,0.0730923,0.4031338,0.6886087,"[0.4031338, 0.6886087]",51
z_age_days,0.0594344,0.1068324,-0.1501837,0.2687445,"[-0.1501837, 0.2687445]",51
Intercept,0.5879774,0.071565,0.446404,0.7261498,"[0.446404, 0.7261498]",170
z_age_days,0.1245338,0.1151291,-0.0997034,0.3496592,"[-0.0997034, 0.3496592]",170
Intercept,0.5666847,0.0861409,0.4031035,0.7410217,"[0.4031035, 0.7410217]",201
z_age_days,-0.1028663,0.1158353,-0.3320462,0.1247907,"[-0.3320462, 0.1247907]",201
Intercept,0.5993998,0.077263,0.4494878,0.7547088,"[0.4494878, 0.7547088]",140
z_age_days,0.1417077,0.1026924,-0.0576516,0.3457279,"[-0.0576516, 0.3457279]",140
Intercept,0.5680973,0.0715628,0.4229784,0.703229,"[0.4229784, 0.703229]",21
z_age_days,0.0988092,0.1256336,-0.1455308,0.3492083,"[-0.1455308, 0.3492083]",21
Intercept,0.6092016,0.0744918,0.4665125,0.7585042,"[0.4665125, 0.7585042]",231
z_age_days,0.0483612,0.111575,-0.1667896,0.2710669,"[-0.1667896, 0.2710669]",231
Intercept,0.5522732,0.0736658,0.4111194,0.6986829,"[0.4111194, 0.6986829]",111
z_age_days,0.058988,0.1029904,-0.1359882,0.2649127,"[-0.1359882, 0.2649127]",111
Intercept,0.6481562,0.0734133,0.5082497,0.7957719,"[0.5082497, 0.7957719]",81
z_age_days,-5.377e-4,0.1069706,-0.2084081,0.2155497,"[-0.2084081, 0.2155497]",81
Intercept,0.5217291,0.0748437,0.3764169,0.6712182,"[0.3764169, 0.6712182]",202
z_age_days,0.2793551,0.1038261,0.0769298,0.4824967,"[0.0769298, 0.4824967]",202
Intercept,0.599881,0.0741738,0.4587925,0.7500551,"[0.4587925, 0.7500551]",52
z_age_days,0.0356829,0.1225497,-0.2032264,0.2838274,"[-0.2032264, 0.2838274]",52
Intercept,0.6262301,0.0755496,0.4784398,0.7748453,"[0.4784398, 0.7748453]",171
z_age_days,-0.0214777,0.1244767,-0.2614006,0.23025,"[-0.2614006, 0.23025]",171
Intercept,0.5841682,0.072161,0.4481454,0.7311836,"[0.4481454, 0.7311836]",232
z_age_days,0.0672081,0.1108643,-0.1508049,0.2882369,"[-0.1508049, 0.2882369]",232
Intercept,0.5315579,0.086108,0.3612918,0.6992352,"[0.3612918, 0.6992352]",141
z_age_days,0.1697622,0.1092358,-0.04364,0.3824581,"[-0.04364, 0.3824581]",141
Intercept,0.5852159,0.0735609,0.4433781,0.7319988,"[0.4433781, 0.7319988]",22
z_age_days,0.054066,0.1074477,-0.1546807,0.2719394,"[-0.1546807, 0.2719394]",22
Intercept,0.5665944,0.0754999,0.4214826,0.7172924,"[0.4214826, 0.7172924]",112
z_age_days,-0.1146785,0.1054688,-0.3271626,0.0918358,"[-0.3271626, 0.0918358]",112
Intercept,0.6033359,0.0725377,0.4534255,0.7390501,"[0.4534255, 0.7390501]",82
z_age_days,-0.1709114,0.1197057,-0.4140905,0.0602227,"[-0.4140905, 0.0602227]",82
Intercept,0.6389413,0.0784372,0.4868137,0.795027,"[0.4868137, 0.795027]",53
z_age_days,5.9e-5,0.1075174,-0.2103107,0.2151,"[-0.2103107, 0.2151]",53
Intercept,0.5774223,0.07843,0.421845,0.731806,"[0.421845, 0.731806]",203
z_age_days,-0.0484264,0.1117092,-0.2705174,0.169385,"[-0.2705174, 0.169385]",203
Intercept,0.6328271,0.070578,0.4972793,0.7739536,"[0.4972793, 0.7739536]",113
z_age_days,-0.0774892,0.105139,-0.285499,0.1251671,"[-0.285499, 0.1251671]",113
Intercept,0.5492516,0.0739719,0.4059792,0.6952182,"[0.4059792, 0.6952182]",142
z_age_days,-0.0675464,0.1006976,-0.2664398,0.130826,"[-0.2664398, 0.130826]",142
Intercept,0.6266209,0.0731576,0.4840212,0.7692493,"[0.4840212, 0.7692493]",172
z_age_days,-0.1092842,0.103345,-0.3135278,0.0902302,"[-0.3135278, 0.0902302]",172
Intercept,0.5760708,0.0850043,0.4042563,0.7412285,"[0.4042563, 0.7412285]",233
z_age_days,0.0109562,0.1196827,-0.222742,0.2522145,"[-0.222742, 0.2522145]",233
Intercept,0.6037465,0.0726492,0.4623685,0.7433243,"[0.4623685, 0.7433243]",23
z_age_days,-0.0804409,0.1185255,-0.3095439,0.1582174,"[-0.3095439, 0.1582174]",23
Intercept,0.5849255,0.072566,0.4468497,0.7322842,"[0.4468497, 0.7322842]",83
z_age_days,0.0332218,0.1077539,-0.1803192,0.2441825,"[-0.1803192, 0.2441825]",83
Intercept,0.5276415,0.0734054,0.3790337,0.6684194,"[0.3790337, 0.6684194]",204
z_age_days,0.0104567,0.1009869,-0.1863033,0.2081896,"[-0.1863033, 0.2081896]",204
Intercept,0.5914314,0.0750781,0.4498562,0.745062,"[0.4498562, 0.745062]",54
z_age_days,0.0243253,0.109254,-0.1922326,0.2366681,"[-0.1922326, 0.2366681]",54
Intercept,0.6386332,0.0803774,0.4884004,0.8027,"[0.4884004, 0.8027]",143
z_age_days,0.1691545,0.1055264,-0.0330208,0.3781842,"[-0.0330208, 0.3781842]",143
Intercept,0.4989602,0.0718333,0.3555353,0.6368246,"[0.3555353, 0.6368246]",234
z_age_days,-0.0380403,0.1060194,-0.2467725,0.1710031,"[-0.2467725, 0.1710031]",234
Intercept,0.5657773,0.0774164,0.4113387,0.716461,"[0.4113387, 0.716461]",114
z_age_days,-0.1050694,0.1036269,-0.3077013,0.0982779,"[-0.3077013, 0.0982779]",114
Intercept,0.6040221,0.0721962,0.460258,0.7422263,"[0.460258, 0.7422263]",173
z_age_days,0.0700793,0.1203796,-0.1674297,0.306397,"[-0.1674297, 0.306397]",173
Intercept,0.5872056,0.0743451,0.4417374,0.7308585,"[0.4417374, 0.7308585]",24
z_age_days,-0.0788821,0.1045252,-0.2849677,0.1252561,"[-0.2849677, 0.1252561]",24
Intercept,0.5137796,0.0741717,0.3723364,0.6622584,"[0.3723364, 0.6622584]",55
z_age_days,0.0452495,0.10579,-0.1593516,0.2523459,"[-0.1593516, 0.2523459]",55
Intercept,0.6019848,0.0751917,0.4537107,0.7477869,"[0.4537107, 0.7477869]",84
z_age_days,-0.0674788,0.1075015,-0.2793808,0.1426859,"[-0.2793808, 0.1426859]",84
Intercept,0.6047865,0.0721068,0.4622454,0.7449917,"[0.4622454, 0.7449917]",144
z_age_days,0.0515163,0.1007797,-0.1433466,0.2505255,"[-0.1433466, 0.2505255]",144
Intercept,0.626985,0.0730954,0.4801475,0.7671951,"[0.4801475, 0.7671951]",205
z_age_days,-0.0276091,0.1118017,-0.2610285,0.17860789999999999,"[-0.2610285, 0.1786079]",205
Intercept,0.5601187,0.0788177,0.4067066,0.7159145,"[0.4067066, 0.7159145]",235
z_age_days,-0.1448468,0.1089613,-0.3547075,0.0728689,"[-0.3547075, 0.0728689]",235
Intercept,0.6871825,0.0722077,0.54444,0.8269266,"[0.54444, 0.8269266]",174
z_age_days,-0.0662859,0.1207487,-0.3121403,0.1649795,"[-0.3121403, 0.1649795]",174
Intercept,0.6082979,0.0729111,0.4626522,0.7479907,"[0.4626522, 0.7479907]",115
z_age_days,0.1916636,0.1061144,-0.0166259,0.3979866,"[-0.0166259, 0.3979866]",115
Intercept,0.606286,0.0775462,0.4529141,0.7573462,"[0.4529141, 0.7573462]",25
z_age_days,0.0045871,0.1098908,-0.2130795,0.2213891,"[-0.2130795, 0.2213891]",25
Intercept,0.5732877,0.0732264,0.4325325,0.7183843,"[0.4325325, 0.7183843]",56
z_age_days,0.0433551,0.101561,-0.1590955,0.2400525,"[-0.1590955, 0.2400525]",56
Intercept,0.6299167,0.0731514,0.4866572,0.774896,"[0.4866572, 0.774896]",85
z_age_days,-0.0079804,0.1240252,-0.2503815,0.238791,"[-0.2503815, 0.238791]",85
Intercept,0.5900462,0.0807032,0.4373432,0.7537245,"[0.4373432, 0.7537245]",145
z_age_days,0.1785585,0.1021218,-0.0222993,0.3784982,"[-0.0222993, 0.3784982]",145
Intercept,0.5506993,0.0736837,0.4054533,0.6941025,"[0.4054533, 0.6941025]",206
z_age_days,0.0186262,0.1054932,-0.1904699,0.2262636,"[-0.1904699, 0.2262636]",206
Intercept,0.4864574,0.0743149,0.3400057,0.6288475,"[0.3400057, 0.6288475]",236
z_age_days,-0.1005335,0.1118564,-0.3215571,0.1209758,"[-0.3215571, 0.1209758]",236
Intercept,0.6177148,0.0727116,0.4751866,0.7603973,"[0.4751866, 0.7603973]",175
z_age_days,-0.0011149,0.1057128,-0.2138818,0.2032669,"[-0.2138818, 0.2032669]",175
Intercept,0.5719454,0.0808828,0.4143446,0.7325573,"[0.4143446, 0.7325573]",116
z_age_days,0.102407,0.121206,-0.1282158,0.3472117,"[-0.1282158, 0.3472117]",116
Intercept,0.5760162,0.0715181,0.4354999,0.7156789,"[0.4354999, 0.7156789]",26
z_age_days,0.0614884,0.1136525,-0.1609045,0.2866916,"[-0.1609045, 0.2866916]",26
Intercept,0.6263042,0.0715385,0.4866934,0.7685223,"[0.4866934, 0.7685223]",57
z_age_days,-0.0187784,0.1113737,-0.2418732,0.1936693,"[-0.2418732, 0.1936693]",57
Intercept,0.5608647,0.0724992,0.4222326,0.7046453,"[0.4222326, 0.7046453]",86
z_age_days,0.0775934,0.1027362,-0.1218945,0.2790087,"[-0.1218945, 0.2790087]",86
Intercept,0.5692282,0.0817201,0.4130286,0.7351369,"[0.4130286, 0.7351369]",146
z_age_days,0.0963391,0.1028601,-0.1079764,0.2957747,"[-0.1079764, 0.2957747]",146
Intercept,0.6055937,0.0710867,0.4679414,0.7476668,"[0.4679414, 0.7476668]",207
z_age_days,0.0291906,0.1020523,-0.1663442,0.2319502,"[-0.1663442, 0.2319502]",207
Intercept,0.53611,0.0754119,0.3879698,0.6856436,"[0.3879698, 0.6856436]",237
z_age_days,-0.0838599,0.1080261,-0.2972221,0.1289275,"[-0.2972221, 0.1289275]",237
Intercept,0.4888791,0.0717642,0.3495661,0.6306783,"[0.3495661, 0.6306783]",176
z_age_days,-0.1540542,0.1057644,-0.365187,0.0504333,"[-0.365187, 0.0504333]",176
Intercept,0.5093274,0.0726561,0.3710197,0.6535159,"[0.3710197, 0.6535159]",117
z_age_days,-0.095257,0.1066184,-0.3090681,0.1085453,"[-0.3090681, 0.1085453]",117
Intercept,0.5545434,0.0833242,0.3938296,0.7185028,"[0.3938296, 0.7185028]",58
z_age_days,0.0250148,0.1074826,-0.1890165,0.233052,"[-0.1890165, 0.233052]",58
Intercept,0.6132959,0.0754653,0.4663315,0.7612557,"[0.4663315, 0.7612557]",27
z_age_days,0.0423082,0.1273673,-0.2089966,0.3001141,"[-0.2089966, 0.3001141]",27
Intercept,0.6117609,0.0743532,0.4656491,0.7563801,"[0.4656491, 0.7563801]",87
z_age_days,0.1173009,0.1050181,-0.0878084,0.3245454,"[-0.0878084, 0.3245454]",87
Intercept,0.5606506,0.0751311,0.4128021,0.7087895,"[0.4128021, 0.7087895]",147
z_age_days,-0.077037,0.1090519,-0.2873518,0.1434663,"[-0.2873518, 0.1434663]",147
Intercept,0.5802233,0.0725162,0.4409025,0.7238881,"[0.4409025, 0.7238881]",177
z_age_days,-0.0836587,0.1134846,-0.30148200000000003,0.1464594,"[-0.301482, 0.1464594]",177
Intercept,0.5177376,0.0725628,0.370933,0.6559421,"[0.370933, 0.6559421]",118
z_age_days,0.0503988,0.099442,-0.1426804,0.2447115,"[-0.1426804, 0.2447115]",118
Intercept,0.5669468,0.0731746,0.4272281,0.7116095,"[0.4272281, 0.7116095]",238
z_age_days,0.1277346,0.1389131,-0.1500532,0.4001583,"[-0.1500532, 0.4001583]",238
Intercept,0.5529412,0.083122,0.394719,0.721068,"[0.394719, 0.721068]",208
z_age_days,0.0066615,0.1232782,-0.2430612,0.2418077,"[-0.2430612, 0.2418077]",208
Intercept,0.5132516,0.0746617,0.3711157,0.6618372,"[0.3711157, 0.6618372]",59
z_age_days,0.0237185,0.10680920000000001,-0.1913351,0.2297768,"[-0.1913351, 0.2297768]",59
Intercept,0.5956448,0.0758171,0.4500795,0.7479787,"[0.4500795, 0.7479787]",28
z_age_days,0.0351026,0.1043019,-0.165742,0.2437773,"[-0.165742, 0.2437773]",28
Intercept,0.6604303,0.0733415,0.5151134,0.8045683,"[0.5151134, 0.8045683]",88
z_age_days,-0.1486715,0.1083038,-0.3556446,0.0669069,"[-0.3556446, 0.0669069]",88
Intercept,0.5736289,0.0706296,0.4368413,0.7139157,"[0.4368413, 0.7139157]",178
z_age_days,0.0099925,0.1015374,-0.1896147,0.2075422,"[-0.1896147, 0.2075422]",178
Intercept,0.5335954,0.0713271,0.3940148,0.6705086,"[0.3940148, 0.6705086]",148
z_age_days,-0.0317031,0.1126575,-0.2538462,0.1902712,"[-0.2538462, 0.1902712]",148
Intercept,0.63328,0.0779247,0.4860844,0.7929267,"[0.4860844, 0.7929267]",239
z_age_days,0.0838807,0.104696,-0.1200747,0.2885729,"[-0.1200747, 0.2885729]",239
Intercept,0.6226168,0.0736405,0.4821617,0.7720569,"[0.4821617, 0.7720569]",209
z_age_days,0.0323825,0.1038508,-0.1741489,0.2284281,"[-0.1741489, 0.2284281]",209
Intercept,0.5085589,0.0699974,0.3754459,0.6477688,"[0.3754459, 0.6477688]",119
z_age_days,0.0983546,0.1105062,-0.1113587,0.3242083,"[-0.1113587, 0.3242083]",119
Intercept,0.5997677,0.0742532,0.4514567,0.7427257,"[0.4514567, 0.7427257]",60
z_age_days,-0.0838986,0.104451,-0.2877365,0.1233803,"[-0.2877365, 0.1233803]",60
Intercept,0.5879891,0.0733243,0.4439069,0.7322866,"[0.4439069, 0.7322866]",29
z_age_days,-0.0764677,0.1088773,-0.2925715,0.1352362,"[-0.2925715, 0.1352362]",29
Intercept,0.5905902,0.07555,0.4404989,0.7355156,"[0.4404989, 0.7355156]",89
z_age_days,0.0325986,0.1153522,-0.1943642,0.2588188,"[-0.1943642, 0.2588188]",89
Intercept,0.5922478,0.0769414,0.4438592,0.7446743,"[0.4438592, 0.7446743]",240
z_age_days,-0.2325613,0.115746,-0.4583579,-6.527e-4,"[-0.4583579, -0.0006527]",240
Intercept,0.5355303,0.0715824,0.399384,0.6788927,"[0.399384, 0.6788927]",179
z_age_days,0.0469715,0.1179146,-0.1893235,0.2723907,"[-0.1893235, 0.2723907]",179
Intercept,0.6064659,0.0794585,0.4520747,0.763064,"[0.4520747, 0.763064]",149
z_age_days,-0.0932678,0.1146753,-0.31189,0.1376804,"[-0.31189, 0.1376804]",149
Intercept,0.6339926,0.0719793,0.4870336,0.7698434,"[0.4870336, 0.7698434]",120
z_age_days,0.0119249,0.1111097,-0.2087063,0.2266299,"[-0.2087063, 0.2266299]",120
Intercept,0.6111243,0.07297,0.4694892,0.7534459,"[0.4694892, 0.7534459]",210
z_age_days,0.0476457,0.1143869,-0.1886891,0.2612604,"[-0.1886891, 0.2612604]",210
Intercept,0.6369697,0.0719555,0.498877,0.7780029,"[0.498877, 0.7780029]",30
z_age_days,-0.009049,0.1088489,-0.2244716,0.2016701,"[-0.2244716, 0.2016701]",30
Intercept,0.6050958,0.077026,0.453406,0.7546972,"[0.453406, 0.7546972]",90
z_age_days,-0.1216173,0.1212832,-0.3581488,0.1193587,"[-0.3581488, 0.1193587]",90
Intercept,0.6021348,0.0740999,0.45482,0.7450984,"[0.45482, 0.7450984]",180
z_age_days,0.1515718,0.1232824,-0.0935472,0.3891874,"[-0.0935472, 0.3891874]",180
Intercept,0.5693979,0.0758498,0.4150365,0.7160533,"[0.4150365, 0.7160533]",150
z_age_days,0.1542403,0.1348112,-0.1096767,0.427201,"[-0.1096767, 0.427201]",150
